sentence, entity type + position
Bill is equal to the task of running the firm.,"[[0, 4, 'PER']]"
Bill didn't turn up at the party.,"[[0, 4, 'PER']]"
Bill replaced Jim as captain.,"[[0, 4, 'PER'], [14, 17, 'PER']]"
Bill replaced Jim as captain.,"[[0, 4, 'PER'], [14, 17, 'PER']]"
Bill is still a legendary figure in this company.,"[[0, 4, 'PER']]"
Bill disagreed with his classmates on every subject.,"[[0, 4, 'PER']]"
Bill can run fastest in his class.,"[[0, 4, 'PER']]"
Bill is honest all the time.,"[[0, 4, 'PER']]"
Bill was late for school as usual.,"[[0, 4, 'PER']]"
Bill has stock in that company.,"[[0, 4, 'PER']]"
Bill climbed the ladder of success until he became the president of the company.,"[[0, 4, 'PER']]"
Bill is the more clever of the two brothers.,"[[0, 4, 'PER']]"
Bill is 20 minutes late. He must have gotten lost somewhere.,"[[0, 4, 'PER']]"
Bill has come by a great deal of money.,"[[0, 4, 'PER']]"
Bill is as tall as Jack.,"[[0, 4, 'PER'], [19, 24, 'PER']]"
Bill is as tall as Jack.,"[[0, 4, 'PER'], [19, 24, 'PER']]"
Bill's work is selling cars.,"[[0, 6, 'PER']]"
Bill's abrupt manner causes him to be misunderstood.,"[[0, 6, 'PER']]"
Let's call Bill up.,"[[11, 19, 'PER']]"
Bill has no sense of adventure.,"[[0, 4, 'PER']]"
I haven't seen Bill for a long time.,"[[15, 19, 'PER']]"
Bill has many friends.,"[[0, 4, 'PER']]"
I never can tell Bill from his brother.,"[[17, 21, 'PER']]"
Bill and I have been sincere friends for a long time.,"[[0, 10, 'MISC']]"
"When Mr Hilton wanted to sell his house, he advertised it in the newspaper.","[[5, 14, 'PER']]"
How much is the fare to the Hilton Hotel?,"[[28, 41, 'LOC']]"
"The Hilton Hotel, please.","[[4, 16, 'LOC']]"
Bill and John like to get together once a month to shoot the breeze.,"[[0, 4, 'PER'], [9, 13, 'PER']]"
Bill and John like to get together once a month to shoot the breeze.,"[[0, 4, 'PER'], [9, 13, 'PER']]"
Bill and Joan divided the candy between them.,"[[0, 4, 'PER'], [9, 13, 'PER']]"
Bill and Joan divided the candy between them.,"[[0, 4, 'PER'], [9, 13, 'PER']]"
Not only Bill but also Mac is crazy about computers.,"[[9, 13, 'PER'], [23, 26, 'MISC']]"
Not only Bill but also Mac is crazy about computers.,"[[9, 13, 'PER'], [23, 26, 'MISC']]"
Mr Hill went on a journey to Japan yesterday.,"[[3, 7, 'PER'], [29, 34, 'LOC']]"
Mr Hill went on a journey to Japan yesterday.,"[[3, 7, 'PER'], [29, 34, 'LOC']]"
I'm planning to stay at the Hillside Hotel.,"[[28, 43, 'LOC']]"
It is doubtful whether Bill will come.,"[[23, 27, 'PER']]"
Bill was singled out for a special award.,"[[0, 4, 'PER']]"
Bill called me last night.,"[[0, 4, 'PER']]"
"Bill won the match, not so much by good luck as by real ability.","[[0, 4, 'PER']]"
Nobody knows where Bill has gone.,"[[19, 23, 'PER']]"
Bill will take you on at tennis.,"[[0, 4, 'PER']]"
"After fifteen years at a building firm, Bill Pearson was given the responsible position of area manager.","[[40, 52, 'PER']]"
"Bill, call me tonight.","[[0, 22, 'MISC']]"
"Bill, did you take Spot for a walk yet?","[[19, 23, 'PER']]"
"Philip, like Andrew and Peter, was from the town of Bethesda.","[[13, 19, 'PER'], [24, 29, 'PER'], [52, 61, 'LOC']]"
"Philip, like Andrew and Peter, was from the town of Bethesda.","[[13, 19, 'PER'], [24, 29, 'PER'], [52, 61, 'LOC']]"
"Philip, like Andrew and Peter, was from the town of Bethesda.","[[13, 19, 'PER'], [24, 29, 'PER'], [52, 61, 'LOC']]"
"Come and see, said Philip.","[[19, 26, 'PER']]"
Billy is very tall for his age.,"[[0, 5, 'PER']]"
Bill was careless in handling his pistol.,"[[0, 4, 'PER']]"
Billy is good at sports.,"[[0, 5, 'PER']]"
John might know something about Mr Black.,"[[0, 4, 'PER'], [32, 41, 'MISC']]"
John might know something about Mr Black.,"[[0, 4, 'PER'], [32, 41, 'MISC']]"
Do you have an extra English dictionary by any chance?,"[[21, 28, 'MISC']]"
Do you happen to know a man by the name of Brown?,"[[43, 49, 'ORG']]"
Do you know Professor Brown by any chance?,"[[22, 27, 'PER']]"
Possibly he knows who broke the windows.,"[[32, 40, 'MISC']]"
It might rain. We'd better take an umbrella.,"[[15, 19, 'PER']]"
The buffet or the cafeteria is in Car 9.,"[[34, 40, 'LOC']]"
"Mrs. Hughes, this is Peter Brown.","[[0, 11, 'PER'], [21, 33, 'PER']]"
"Mrs. Hughes, this is Peter Brown.","[[0, 11, 'PER'], [21, 33, 'PER']]"
The mountains in the Himalayas are higher than those in the Andes.,"[[21, 30, 'LOC'], [60, 66, 'LOC']]"
The mountains in the Himalayas are higher than those in the Andes.,"[[21, 30, 'LOC'], [60, 66, 'LOC']]"
Keeping up with the Joneses is expensive in rich town like Beverly Hills.,"[[20, 27, 'MISC'], [59, 73, 'LOC']]"
Keeping up with the Joneses is expensive in rich town like Beverly Hills.,"[[20, 27, 'MISC'], [59, 73, 'LOC']]"
Could I have a plastic bag for those?,"[[0, 7, 'PER']]"
"One speaks English, and the other speaks Japanese.","[[11, 18, 'MISC'], [41, 50, 'PER']]"
"One speaks English, and the other speaks Japanese.","[[11, 18, 'MISC'], [41, 50, 'PER']]"
Hitler is one of the most notorious dictators.,"[[0, 6, 'PER']]"
Hitler led Germany into war.,"[[0, 6, 'PER'], [11, 18, 'LOC']]"
Hitler led Germany into war.,"[[0, 6, 'PER'], [11, 18, 'LOC']]"
Hitler invaded Poland in 1939.,"[[0, 6, 'PER'], [15, 21, 'LOC']]"
Hitler invaded Poland in 1939.,"[[0, 6, 'PER'], [15, 21, 'LOC']]"
Hitler assumed power in 1933.,"[[0, 6, 'PER']]"
Hitomi looked very happy.,"[[0, 6, 'PER']]"
Jack stood aside for Hitomi to enter.,"[[0, 4, 'PER'], [21, 27, 'PER']]"
Jack stood aside for Hitomi to enter.,"[[0, 4, 'PER'], [21, 27, 'PER']]"
Could I ask a favor of you?,"[[0, 7, 'PER']]"
May I ask you a favor?,"[[0, 5, 'PER']]"
It's terribly cold. I think I'm going to catch a cold.,"[[28, 31, 'MISC']]"
I've been badly bitten by mosquitoes.,"[[26, 37, 'PER']]"
It was a terrible confusion; Sue slipped later in the water. They're all mad at you.,"[[29, 32, 'PER'], [61, 68, 'LOC']]"
It was a terrible confusion; Sue slipped later in the water. They're all mad at you.,"[[29, 32, 'PER'], [61, 68, 'LOC']]"
Hideo turned the steering wheel sharply to avoid the bicyclist.,"[[0, 5, 'PER']]"
The teacher told me that Hitler killed himself.,"[[25, 31, 'PER']]"
A businessman is working out some figures with a calculator.,"[[49, 60, 'PER']]"
Many of the things Pizzaro had heard about the Inca treasure were true.,"[[19, 26, 'PER'], [47, 51, 'LOC']]"
Many of the things Pizzaro had heard about the Inca treasure were true.,"[[19, 26, 'PER'], [47, 51, 'LOC']]"
Pizza is my favorite food.,"[[0, 5, 'LOC']]"
Pizza is the kind of food that fits into today's life style.,"[[0, 5, 'LOC']]"
Do you accept Visa card?,"[[14, 24, 'ORG']]"
Queen Victoria was the sovereign of Great Britain.,"[[0, 14, 'PER'], [36, 49, 'LOC']]"
Queen Victoria was the sovereign of Great Britain.,"[[0, 14, 'PER'], [36, 49, 'LOC']]"
The Hikari runs between Tokyo and Shin-Osaka in three hours and ten minutes.,"[[4, 10, 'LOC'], [24, 29, 'LOC'], [34, 44, 'LOC']]"
The Hikari runs between Tokyo and Shin-Osaka in three hours and ten minutes.,"[[4, 10, 'LOC'], [24, 29, 'LOC'], [34, 44, 'LOC']]"
The Hikari runs between Tokyo and Shin-Osaka in three hours and ten minutes.,"[[4, 10, 'LOC'], [24, 29, 'LOC'], [34, 44, 'LOC']]"
Picasso is a famous artist.,"[[0, 7, 'PER']]"
Picasso is a famous artist whom everyone knows.,"[[0, 7, 'PER']]"
Picasso is an eminent painter.,"[[0, 7, 'PER']]"
Picasso painted this picture in 1950.,"[[0, 7, 'PER']]"
Picasso kept drawing pictures until he was 91 years old.,"[[0, 7, 'PER']]"
I bought a Picasso.,"[[11, 19, 'PER']]"
I'd like to buy a Picasso.,"[[18, 26, 'PER']]"
Picasso's paintings seem strange to me.,"[[0, 9, 'PER']]"
Painters such as Picasso are rare.,"[[17, 24, 'PER']]"
Such painters as Picasso are rare.,"[[17, 24, 'PER']]"
"When the little boy saw the clown, the cat got his tongue.","[[39, 42, 'ORG']]"
Drinking beer refreshes me.,"[[0, 8, 'PER']]"
Could I have another glass of beer?,"[[0, 7, 'PER']]"
Wouldn't you like another glass of beer?,"[[0, 8, 'PER']]"
"Could I get one more beer, please?","[[0, 7, 'PER']]"
"Two beers, please.","[[0, 3, 'MISC']]"
Beer is brewed from malt.,"[[0, 4, 'LOC']]"
The Beatles set the world on fire with their incredible music.,"[[0, 11, 'ORG']]"
The Beatles consisted of four musicians.,"[[0, 11, 'ORG']]"
The Beatles gave five concerts in Tokyo in 1996.,"[[0, 11, 'ORG'], [34, 39, 'LOC']]"
The Beatles gave five concerts in Tokyo in 1996.,"[[0, 11, 'ORG'], [34, 39, 'LOC']]"
The hair style of the Beatles created a sensation.,"[[18, 29, 'ORG']]"
The Beatles are popular among young people.,"[[0, 11, 'ORG']]"
Pete came coasting down the hill on his sled.,"[[0, 4, 'PER']]"
Peter didn't intend to break the vase.,"[[0, 5, 'PER']]"
Peter is a merry fellow.,"[[0, 5, 'PER']]"
Peter has decided to leave tomorrow.,"[[0, 5, 'PER']]"
Peter isn't anything like his father.,"[[0, 5, 'PER']]"
Peter takes after his mother more than his father.,"[[0, 5, 'PER']]"
Peter's very tall. He takes after his father.,"[[0, 7, 'PER']]"
Peter showed due respect to his teacher.,"[[0, 5, 'PER']]"
Peter may need a new diaper.,"[[0, 5, 'PER']]"
Peter talks with his parents in the United States on the phone at least once a week.,"[[0, 5, 'PER'], [36, 49, 'LOC']]"
Peter talks with his parents in the United States on the phone at least once a week.,"[[0, 5, 'PER'], [36, 49, 'LOC']]"
Peter has been trying to find a new apartment for some time.,"[[0, 5, 'PER']]"
Peter was fed up with childish girls.,"[[0, 5, 'PER']]"
Peter was fed up with childish girls and wanted to meet a really mature woman.,"[[0, 5, 'PER']]"
Peter is not in now.,"[[0, 5, 'PER']]"
Peter didn't come after all.,"[[0, 5, 'PER']]"
Peter doesn't need to attend the meeting.,"[[0, 5, 'PER']]"
Peter overcame a lot of difficulties before succeeding as a doctor.,"[[0, 5, 'PER']]"
Who is the boy acting the part of Peter Pan?,"[[0, 3, 'ORG'], [34, 44, 'PER']]"
Who is the boy acting the part of Peter Pan?,"[[0, 3, 'ORG'], [34, 44, 'PER']]"
Peter looks very young.,"[[0, 5, 'PER']]"
Peter fell in love with the girl.,"[[0, 5, 'PER']]"
Peter remarked that the pudding was too sweet.,"[[0, 5, 'PER']]"
Peter applied to his boss for a raise.,"[[0, 5, 'PER']]"
Shall I ask Peter for help?,"[[0, 7, 'PER'], [12, 17, 'PER']]"
Shall I ask Peter for help?,"[[0, 7, 'PER'], [12, 17, 'PER']]"
Peter and I would often go to the movies.,"[[0, 11, 'MISC']]"
Peter and Carol were at odds with each other over where to spend their vacation.,"[[0, 5, 'PER'], [10, 15, 'PER']]"
Peter and Carol were at odds with each other over where to spend their vacation.,"[[0, 5, 'PER'], [10, 15, 'PER']]"
Peter and Eve make a handsome couple.,"[[0, 5, 'PER'], [10, 13, 'PER']]"
Peter and Eve make a handsome couple.,"[[0, 5, 'PER'], [10, 13, 'PER']]"
Peter came in your absence.,"[[0, 5, 'PER']]"
"When Peter got up, Jean had already left home.","[[5, 10, 'PER'], [19, 23, 'PER']]"
"When Peter got up, Jean had already left home.","[[5, 10, 'PER'], [19, 23, 'PER']]"
"Peter, Nancy will be ready in while.","[[0, 5, 'LOC'], [7, 12, 'LOC']]"
"Peter, Nancy will be ready in while.","[[0, 5, 'LOC'], [7, 12, 'LOC']]"
May I play the piano?,"[[0, 5, 'PER']]"
The girl playing the piano is Akiko.,"[[30, 36, 'PER']]"
Could I have money for my piano lesson?,"[[0, 7, 'PER']]"
Can you play the piano?,"[[0, 3, 'ORG']]"
The number of Japanese who live on bread has increased.,"[[14, 22, 'MISC']]"
I like to bake bread and give a loaf to my friend Mie.,"[[50, 54, 'PER']]"
Humpty Dumpty sat on a wall; Humpty Dumpty had a great fall. All the King's horses and all the King's men couldn't put Humpty Dumpty together again.,"[[0, 13, 'PER'], [29, 42, 'PER'], [119, 132, 'PER']]"
Humpty Dumpty sat on a wall; Humpty Dumpty had a great fall. All the King's horses and all the King's men couldn't put Humpty Dumpty together again.,"[[0, 13, 'PER'], [29, 42, 'PER'], [119, 132, 'PER']]"
Humpty Dumpty sat on a wall; Humpty Dumpty had a great fall. All the King's horses and all the King's men couldn't put Humpty Dumpty together again.,"[[0, 13, 'PER'], [29, 42, 'PER'], [119, 132, 'PER']]"
The hamburger is a famous American dish.,"[[26, 34, 'MISC']]"
"Can I have two hamburgers and a coke, please?","[[0, 5, 'PER']]"
Pan is a monkey that can spread butter on bread.,"[[0, 3, 'PER']]"
My band name's Red Hot.,"[[15, 23, 'ORG']]"
Can I have a Band-Aid?,"[[0, 5, 'PER'], [13, 22, 'MISC']]"
Can I have a Band-Aid?,"[[0, 5, 'PER'], [13, 22, 'MISC']]"
Could you send up a Band-Aid and some medicine?,"[[20, 28, 'MISC']]"
Giant pandas live only in China.,"[[26, 32, 'LOC']]"
I'd like to reserve a flight to Vancouver.,"[[32, 41, 'LOC']]"
A trip to Hawaii will cost you about 200 dollars.,"[[10, 16, 'LOC']]"
"I'm not sure about Hawaii, where there are also many Japanese, but I do find that having at least some Japanese around can be reassuring. That's how I feel.","[[19, 25, 'LOC'], [53, 61, 'MISC'], [103, 111, 'MISC']]"
"I'm not sure about Hawaii, where there are also many Japanese, but I do find that having at least some Japanese around can be reassuring. That's how I feel.","[[19, 25, 'LOC'], [53, 61, 'MISC'], [103, 111, 'MISC']]"
"I'm not sure about Hawaii, where there are also many Japanese, but I do find that having at least some Japanese around can be reassuring. That's how I feel.","[[19, 25, 'LOC'], [53, 61, 'MISC'], [103, 111, 'MISC']]"
Have you ever been to Hawaii?,"[[22, 29, 'LOC']]"
Hawaii is a popular tourist resort.,"[[0, 6, 'LOC']]"
Hawaii is known as an earthly paradise.,"[[0, 6, 'LOC']]"
Hawaii enjoys good weather the year round.,"[[0, 6, 'LOC']]"
"Hawaii is often referred to as ""The Pearl of the Pacific.""","[[0, 6, 'LOC'], [32, 57, 'MISC']]"
"Hawaii is often referred to as ""The Pearl of the Pacific.""","[[0, 6, 'LOC'], [32, 57, 'MISC']]"
The evening in Hawaii is very beautiful.,"[[15, 21, 'LOC']]"
The Hawaiian ocean is so beautiful.,"[[4, 18, 'LOC']]"
He says he has been to Hawaii before.,"[[23, 29, 'LOC']]"
I'd like to go to Hawaii.,"[[18, 24, 'LOC']]"
There are a lot of beach bums in Hawaii.,"[[33, 39, 'LOC']]"
"When you come to Hawaii, I'll show you around.","[[17, 23, 'LOC'], [25, 46, 'MISC']]"
"When you come to Hawaii, I'll show you around.","[[17, 23, 'LOC'], [25, 46, 'MISC']]"
Tell me what you did in Hawaii.,"[[24, 30, 'LOC']]"
I am going to stay with my aunt in Hawaii.,"[[35, 41, 'LOC']]"
"In Hawaii, one can swim in the ocean all year round.","[[3, 9, 'LOC']]"
Happy Halloween!,"[[0, 16, 'MISC']]"
I'll stop giving them chocolate on Valentine's Day.,"[[35, 51, 'LOC']]"
It is a silly practice for non-Christians to send chocolates on St. Valentine's Day.,"[[27, 41, 'MISC'], [64, 84, 'LOC']]"
It is a silly practice for non-Christians to send chocolates on St. Valentine's Day.,"[[27, 41, 'MISC'], [64, 84, 'LOC']]"
Happy Valentine's Day.,"[[0, 22, 'MISC']]"
Halley's Comet comes round once every eighty years.,"[[0, 14, 'LOC']]"
Halley's Comet will come back in 2061.,"[[0, 14, 'LOC']]"
Haruyo is undoubtedly under stress during this entrance-examination season.,"[[0, 6, 'LOC']]"
Haruyo steeled herself to tell Akiyoshi that she wanted to stop dating him.,"[[0, 6, 'PER'], [31, 39, 'PER']]"
Haruyo steeled herself to tell Akiyoshi that she wanted to stop dating him.,"[[0, 6, 'PER'], [31, 39, 'PER']]"
Mr Balboa is so well known as to need no introduction.,"[[3, 9, 'LOC']]"
Flight 101 from Paris arrived one hour ahead of time.,"[[16, 21, 'LOC']]"
All the Parisians have gone outdoors.,"[[8, 17, 'MISC']]"
The river which flows through Paris is the Seine.,"[[30, 35, 'LOC'], [43, 49, 'LOC']]"
The river which flows through Paris is the Seine.,"[[30, 35, 'LOC'], [43, 49, 'LOC']]"
It will cost 500 dollars to fly to Paris.,"[[35, 40, 'LOC']]"
It is not far to Paris.,"[[17, 22, 'LOC']]"
It's fifty kilometers to Paris.,"[[25, 30, 'LOC']]"
I'm thinking of going to Paris.,"[[25, 30, 'LOC']]"
Have you ever been to Paris?,"[[22, 27, 'LOC']]"
It was her wish to go to Paris.,"[[25, 30, 'LOC']]"
Take the shortest route to Paris.,"[[27, 32, 'LOC']]"
Paris has a great charm for Japanese girls.,"[[0, 5, 'LOC'], [28, 36, 'MISC']]"
Paris has a great charm for Japanese girls.,"[[0, 5, 'LOC'], [28, 36, 'MISC']]"
Paris is called the City of Lights. Many beautiful buildings are lit at night.,"[[0, 5, 'LOC'], [20, 35, 'LOC']]"
Paris is called the City of Lights. Many beautiful buildings are lit at night.,"[[0, 5, 'LOC'], [20, 35, 'LOC']]"
Paris is one of the largest cities in the world.,"[[0, 5, 'LOC']]"
Paris is best in autumn.,"[[0, 5, 'LOC']]"
Paris is the capital of France.,"[[0, 5, 'LOC'], [24, 30, 'LOC']]"
Paris is the capital of France.,"[[0, 5, 'LOC'], [24, 30, 'LOC']]"
Paris did her best to defend her liberties.,"[[0, 5, 'LOC']]"
Where is Paris?,"[[9, 15, 'LOC']]"
"Paris, which is on the Seine, is a beautiful city.","[[0, 5, 'LOC'], [23, 28, 'LOC']]"
"Paris, which is on the Seine, is a beautiful city.","[[0, 5, 'LOC'], [23, 28, 'LOC']]"
Paris fell in 1940.,"[[0, 5, 'LOC']]"
"Paris is the center of the world, in a way.","[[0, 5, 'LOC']]"
It is extremely hot and humid in Bali in December.,"[[33, 37, 'LOC']]"
Corsairfly is an airline based in Paris.,"[[0, 10, 'LOC'], [34, 39, 'LOC']]"
Corsairfly is an airline based in Paris.,"[[0, 10, 'LOC'], [34, 39, 'LOC']]"
I have to brush up my French before I go to Paris to study.,"[[22, 28, 'MISC'], [36, 49, 'MISC']]"
I have to brush up my French before I go to Paris to study.,"[[22, 28, 'MISC'], [36, 49, 'MISC']]"
I visited him at intervals during my stay in Paris.,"[[45, 50, 'LOC']]"
"While staying in Paris, I happened to meet him.","[[17, 22, 'LOC']]"
I met him while I was staying in Paris.,"[[33, 38, 'LOC']]"
I'm dying to see Paris.,"[[17, 22, 'LOC']]"
We stopped over in Athens on our way to Paris.,"[[19, 25, 'LOC'], [40, 45, 'LOC']]"
We stopped over in Athens on our way to Paris.,"[[19, 25, 'LOC'], [40, 45, 'LOC']]"
Could she make herself understood in French in Paris?,"[[37, 43, 'MISC'], [47, 53, 'LOC']]"
Could she make herself understood in French in Paris?,"[[37, 43, 'MISC'], [47, 53, 'LOC']]"
I remember meeting him in Paris.,"[[26, 31, 'LOC']]"
What's in fashion in Paris?,"[[21, 27, 'LOC']]"
Evidence that Harrison did not intend this work to be a parody can be seen in his letter to Mrs. Evans.,"[[14, 22, 'PER'], [92, 103, 'PER']]"
Evidence that Harrison did not intend this work to be a parody can be seen in his letter to Mrs. Evans.,"[[14, 22, 'PER'], [92, 103, 'PER']]"
Mrs. Harris is very doubtful about her son's future.,"[[0, 11, 'PER']]"
The death toll from the hurricane climbed to 200.,"[[24, 33, 'MISC']]"
There are good grounds for the view that Paris was the scene of frequent riots even before the revolution of 1789.,"[[41, 46, 'LOC']]"
Hollywood isn't what it used to be.,"[[0, 9, 'LOC']]"
Harry left his family 200 million yen when he died.,"[[0, 5, 'MISC']]"
Harry is gentle with cats.,"[[0, 5, 'MISC']]"
Barry hits the bottle every now and then.,"[[0, 5, 'PER']]"
Harry was late for class yesterday because of his accident.,"[[0, 5, 'MISC']]"
Harry managed to swim across the river.,"[[0, 5, 'MISC']]"
Harry is only 40.,"[[0, 5, 'MISC']]"
Harry called at Tony's house.,"[[0, 5, 'MISC'], [16, 29, 'LOC']]"
Harry called at Tony's house.,"[[0, 5, 'MISC'], [16, 29, 'LOC']]"
Harry is ashamed of having lied to Sally.,"[[0, 5, 'MISC'], [35, 41, 'PER']]"
Harry is ashamed of having lied to Sally.,"[[0, 5, 'MISC'], [35, 41, 'PER']]"
Harry couldn't keep up with the class.,"[[0, 5, 'MISC']]"
Barry Taylor's name has been put forward for the post of chairman.,"[[0, 12, 'PER']]"
Roses smell sweet.,"[[0, 5, 'PER']]"
I will have read Hamlet three times if I read it again.,"[[17, 23, 'MISC']]"
Hamlet acts as if he were insane.,"[[0, 6, 'MISC']]"
Play the part of Hamlet.,"[[17, 24, 'MISC']]"
Who acts Hamlet?,"[[9, 16, 'MISC']]"
Can you quote a line of Hamlet?,"[[0, 3, 'ORG'], [24, 31, 'MISC']]"
Can you quote a line of Hamlet?,"[[0, 3, 'ORG'], [24, 31, 'MISC']]"
"In the Carteret Islands, near Papua New Guinea, some people have already had to leave their homes because the seawater is washing around their houses.","[[7, 23, 'LOC'], [30, 46, 'LOC']]"
"In the Carteret Islands, near Papua New Guinea, some people have already had to leave their homes because the seawater is washing around their houses.","[[7, 23, 'LOC'], [30, 46, 'LOC']]"
"Can I go out to play, Dad?","[[0, 5, 'PER'], [22, 26, 'LOC']]"
"Can I go out to play, Dad?","[[0, 5, 'PER'], [22, 26, 'LOC']]"
"Daddy was in his office, under our flat.","[[0, 5, 'PER']]"
Why don't you have Dad clean up his study?,"[[19, 22, 'PER']]"
Hang onto Daddy!,"[[10, 16, 'PER']]"
I'll tell Daddy on you.,"[[10, 15, 'PER']]"
Daddy passed gas.,"[[0, 5, 'PER']]"
"Where are you going, Dad?","[[21, 25, 'PER']]"
So this is Lady Evans.,"[[11, 22, 'PER']]"
"Give me a ride on your shoulders, Daddy.","[[34, 40, 'PER']]"
The Panama Canal connects the Atlantic with the Pacific.,"[[4, 16, 'LOC'], [30, 38, 'LOC'], [48, 56, 'LOC']]"
The Panama Canal connects the Atlantic with the Pacific.,"[[4, 16, 'LOC'], [30, 38, 'LOC'], [48, 56, 'LOC']]"
The Panama Canal connects the Atlantic with the Pacific.,"[[4, 16, 'LOC'], [30, 38, 'LOC'], [48, 56, 'LOC']]"
Your nose is running. Blow it.,"[[22, 26, 'PER']]"
Patricia will organize the tournament.,"[[0, 8, 'PER']]"
Do you know where Miss Hudson lives?,"[[18, 29, 'PER']]"
Professor Hudson is my father's friend.,"[[10, 16, 'PER']]"
Patty exposed her back to the sun on the beach.,"[[0, 5, 'PER']]"
Patty was so short that she couldn't get at the branch.,"[[0, 5, 'PER']]"
Patty is a smart student.,"[[0, 5, 'PER']]"
Patty finished writing to her friends in Canada.,"[[0, 5, 'PER'], [41, 47, 'LOC']]"
Patty finished writing to her friends in Canada.,"[[0, 5, 'PER'], [41, 47, 'LOC']]"
Bach and Handel were contemporaries.,"[[0, 4, 'PER'], [9, 15, 'PER']]"
Bach and Handel were contemporaries.,"[[0, 4, 'PER'], [9, 15, 'PER']]"
Pat stripped off his clothes and dived in.,"[[0, 3, 'PER']]"
Pat is very talkative.,"[[0, 3, 'PER']]"
Pat's going to Jim's birthday party.,"[[15, 20, 'PER']]"
"Go and help them, Bud.","[[18, 22, 'PER']]"
Ichiro hit an eye-popping double.,"[[0, 6, 'PER']]"
The train for Birmingham leaves from platform 3.,"[[14, 24, 'LOC']]"
"Not to mince matters, I don't want you to come to our party.","[[22, 60, 'MISC']]"
"To put it clearly, I don't like him.","[[19, 36, 'MISC']]"
"Frankly speaking, he is wrong.","[[0, 7, 'PER']]"
Speak up!,"[[0, 9, 'MISC']]"
May I ask a few more questions about that point? It's a little obscure.,"[[0, 5, 'PER']]"
"I am not sure, but I think I want to be a teacher.","[[19, 28, 'MISC']]"
Butter is made from cream.,"[[0, 6, 'LOC']]"
Butter is made from milk.,"[[0, 6, 'LOC']]"
Butter is sold by the pound.,"[[0, 6, 'LOC']]"
Dr. Patterson communicated with a gorilla using sign language.,"[[0, 13, 'PER']]"
Dr. Patterson also uses spoken language with Koko.,"[[0, 13, 'PER'], [45, 50, 'PER']]"
Dr. Patterson also uses spoken language with Koko.,"[[0, 13, 'PER'], [45, 50, 'PER']]"
Dr. Patterson: She made the sign for cat.,"[[0, 13, 'PER']]"
"Dr. Patterson: Oh, no! She was very gentle with him.","[[0, 22, 'PER']]"
Dr. Patterson: Not at all! Koko has taught us that gorillas are intelligent enough to learn sign language.,"[[0, 18, 'PER']]"
"Dr. Patterson: Yes, it was horrible.","[[0, 18, 'PER']]"
Dr. Patterson: Sure. Do you know about Koko's love for cats?,"[[0, 23, 'PER'], [39, 45, 'PER']]"
Dr. Patterson: Sure. Do you know about Koko's love for cats?,"[[0, 23, 'PER'], [39, 45, 'PER']]"
It is unclear in Patterson's experiment whether the output objects fully correspond to the designed models.,"[[17, 28, 'MISC']]"
Would you like a room with a bath or a shower?,"[[29, 33, 'LOC']]"
"May I see your passport, please?","[[0, 5, 'PER']]"
May I see your passport?,"[[0, 5, 'PER']]"
"Passport, please.","[[0, 17, 'LOC']]"
May I look at your passport?,"[[0, 5, 'PER']]"
May I have a bus route map?,"[[0, 5, 'PER']]"
Can I buy a ticket on the bus?,"[[0, 5, 'PER']]"
I ran into Mr Lynch on the bus.,"[[11, 19, 'MISC']]"
May I have a bus schedule?,"[[0, 5, 'PER']]"
You'd better get going in case you miss the bus.,"[[0, 5, 'PER']]"
You'd better leave at once so that you don't miss the bus.,"[[0, 5, 'PER']]"
Should I take the bus?,"[[0, 8, 'PER']]"
Will you go to Tokyo by bus?,"[[15, 20, 'LOC']]"
Sometimes I go by bus and sometimes by car.,"[[0, 11, 'PER']]"
Pasteur experimented with bacteria.,"[[0, 7, 'PER']]"
Where do I book a bus tour?,"[[9, 15, 'MISC']]"
Pasta is Fernando's province.,"[[0, 5, 'LOC'], [9, 19, 'LOC']]"
Pasta is Fernando's province.,"[[0, 5, 'LOC'], [9, 19, 'LOC']]"
"How do you do, Mrs. Jones?","[[15, 26, 'PER']]"
"How do you do, Mrs. Allen? I'm pleased to meet you.","[[15, 30, 'MISC']]"
"At first, I didn't like him.","[[10, 28, 'MISC']]"
Everything was exciting to me when I visited Spain for the first time.,"[[45, 50, 'LOC']]"
Is this the right bus for Pacific Boulevard?,"[[26, 44, 'MISC']]"
Can I borrow your scissors?,"[[0, 5, 'PER']]"
Bring me a bucket of water.,"[[0, 5, 'PER']]"
Bacteria will not breed in alcohol.,"[[0, 8, 'LOC']]"
The new drug will be tested in Vaxgen's laboratory.,"[[31, 51, 'LOC']]"
"Yes, I know.","[[0, 6, 'MISC']]"
"Byron left England, never to return.","[[0, 5, 'PER'], [11, 18, 'LOC']]"
"Byron left England, never to return.","[[0, 5, 'PER'], [11, 18, 'LOC']]"
Pilots communicate with the airport by radio.,"[[0, 6, 'PER']]"
Holmes is a great pipe man as well as a great detective.,"[[0, 6, 'PER']]"
"Yes, I like it very much.","[[0, 6, 'MISC']]"
Can you set up the bike?,"[[0, 3, 'ORG']]"
Autumn is the best season for going on hikes.,"[[0, 6, 'ORG']]"
Bring a lunch for our day of hiking.,"[[0, 5, 'PER']]"
It is said that the Vikings preceded Columbus in discovering America.,"[[20, 27, 'MISC'], [37, 45, 'LOC'], [61, 68, 'LOC']]"
