sentence, entity type + position
Betty spreekt uitstekend Esperanto.,"[[0, 5, 'PER'], [25, 34, 'MISC']]"
Het Esperanto is de taal van de eenentwintigste eeuw.,"[[4, 13, 'MISC']]"
"Het Frans zit dikwijls erg verveeld met de uitdrukkingsdichtheid die het gebruik van voor- en achtervoegsels in het Esperanto mogelijk maakt, maar het trekt zijn plan door te spelen op de keuze van de lexemen.","[[4, 9, 'MISC'], [116, 125, 'MISC']]"
"Het Frans zit dikwijls erg verveeld met de uitdrukkingsdichtheid die het gebruik van voor- en achtervoegsels in het Esperanto mogelijk maakt, maar het trekt zijn plan door te spelen op de keuze van de lexemen.","[[4, 9, 'MISC'], [116, 125, 'MISC']]"
"Interlinguistiek behandelt de communicatie voorbij de taalbarrières en onderzoekt hoe plantalen, zoals Esperanto en Volapük, in zulke omstandigheden werken.","[[103, 112, 'MISC'], [116, 123, 'MISC']]"
"Interlinguistiek behandelt de communicatie voorbij de taalbarrières en onderzoekt hoe plantalen, zoals Esperanto en Volapük, in zulke omstandigheden werken.","[[103, 112, 'MISC'], [116, 123, 'MISC']]"
"Ooit veronachtzaamd als kunstmatige taal, heeft het Esperanto nu het respect van een nieuwe generatie taalkundigen verworven als de meest succescolle plantaal ooit.","[[52, 61, 'MISC']]"
"In haar boek ""In het land van de uitgevonden talen"" spreekt Arika Okrent ten gunste van het Esperanto.","[[60, 72, 'PER'], [92, 101, 'MISC']]"
"In haar boek ""In het land van de uitgevonden talen"" spreekt Arika Okrent ten gunste van het Esperanto.","[[60, 72, 'PER'], [92, 101, 'MISC']]"
Esperanto leren is zeer boeiend.,"[[0, 9, 'MISC']]"
Wie heeft er deelgenomen aan het Japanse Esperantocongres in Nagasaki?,"[[33, 40, 'MISC'], [41, 57, 'ORG'], [61, 69, 'LOC']]"
Wie heeft er deelgenomen aan het Japanse Esperantocongres in Nagasaki?,"[[33, 40, 'MISC'], [41, 57, 'ORG'], [61, 69, 'LOC']]"
Wie heeft er deelgenomen aan het Japanse Esperantocongres in Nagasaki?,"[[33, 40, 'MISC'], [41, 57, 'ORG'], [61, 69, 'LOC']]"
Het is heel leuk Esperanto te leren.,"[[17, 26, 'MISC']]"
Het doeltreffendste middel voor de verspreiding van het Esperanto is het vlotte en elegante gebruik van die taal.,"[[56, 65, 'MISC']]"
Door elkaar te corrigeren worden wij allen beter in Esperanto.,"[[52, 61, 'MISC']]"
"De Canadese Dankzeggingsdag en de Columbusdag in de Verenigde Staten van Amerika vallen samen, daarom maken Esperantosprekers uit beide landen van de gelegenheid gebruik om een internationale bijeenkomst te hebben.","[[3, 11, 'MISC'], [34, 45, 'MISC'], [52, 68, 'LOC'], [73, 80, 'LOC'], [108, 125, 'MISC']]"
"De Canadese Dankzeggingsdag en de Columbusdag in de Verenigde Staten van Amerika vallen samen, daarom maken Esperantosprekers uit beide landen van de gelegenheid gebruik om een internationale bijeenkomst te hebben.","[[3, 11, 'MISC'], [34, 45, 'MISC'], [52, 68, 'LOC'], [73, 80, 'LOC'], [108, 125, 'MISC']]"
"De Canadese Dankzeggingsdag en de Columbusdag in de Verenigde Staten van Amerika vallen samen, daarom maken Esperantosprekers uit beide landen van de gelegenheid gebruik om een internationale bijeenkomst te hebben.","[[3, 11, 'MISC'], [34, 45, 'MISC'], [52, 68, 'LOC'], [73, 80, 'LOC'], [108, 125, 'MISC']]"
"De Canadese Dankzeggingsdag en de Columbusdag in de Verenigde Staten van Amerika vallen samen, daarom maken Esperantosprekers uit beide landen van de gelegenheid gebruik om een internationale bijeenkomst te hebben.","[[3, 11, 'MISC'], [34, 45, 'MISC'], [52, 68, 'LOC'], [73, 80, 'LOC'], [108, 125, 'MISC']]"
"De Canadese Dankzeggingsdag en de Columbusdag in de Verenigde Staten van Amerika vallen samen, daarom maken Esperantosprekers uit beide landen van de gelegenheid gebruik om een internationale bijeenkomst te hebben.","[[3, 11, 'MISC'], [34, 45, 'MISC'], [52, 68, 'LOC'], [73, 80, 'LOC'], [108, 125, 'MISC']]"
"Omdat de meeste Esperantosprekers de taal door zelfstudie geleerd hebben, zijn het internet in het algemeen, en de webstek www.lernu.net in het bijzonder, grote voordelen voor de taal geweest.","[[16, 33, 'MISC']]"
"Het Esperantowoord ""Koran"" is niet van Arabische afkomst, nietwaar?","[[4, 18, 'MISC'], [20, 25, 'MISC'], [39, 48, 'MISC']]"
"Het Esperantowoord ""Koran"" is niet van Arabische afkomst, nietwaar?","[[4, 18, 'MISC'], [20, 25, 'MISC'], [39, 48, 'MISC']]"
"Het Esperantowoord ""Koran"" is niet van Arabische afkomst, nietwaar?","[[4, 18, 'MISC'], [20, 25, 'MISC'], [39, 48, 'MISC']]"
"Een wijze heeft eens gezegd ""Als Esperanto een kunstmatige taal is, dan is mijn auto een kunstmatig paard"".","[[33, 42, 'MISC']]"
Esperanto is niet enkel van naam maar ook van structuur een internationale taal.,"[[0, 9, 'MISC']]"
"Eigenlijk is er geen stam, voorvoegsel, achtervoegsel of uitgang... in het Esperanto is er enkel een als stam, voorvoegsel, achtervoegsel of uitgang gebruikt woordelement.","[[75, 84, 'MISC']]"
Katalin wijdde haar leven aan het Esperanto.,"[[0, 7, 'PER'], [34, 43, 'MISC']]"
Katalin wijdde haar leven aan het Esperanto.,"[[0, 7, 'PER'], [34, 43, 'MISC']]"
De overleden heer Schmidt was geneesheer.,"[[18, 25, 'PER']]"
Wanneer zijt ge naar Berlijn verhuisd?,"[[21, 28, 'LOC']]"
"Botulisme, brucellosen, de ziekte van Lyme en tetanos zijn infectieziekten, maar geen besmettelijke ziekten.","[[38, 42, 'MISC']]"
In Singapore is op de grond spuwen een misdaad.,"[[3, 12, 'LOC']]"
"Op dezelfde manier zou een Rus niets grappigs vinden aan een mop, waarvan een Engelsman niet bijkomt van het lachen.","[[27, 30, 'MISC'], [78, 87, 'MISC']]"
"Op dezelfde manier zou een Rus niets grappigs vinden aan een mop, waarvan een Engelsman niet bijkomt van het lachen.","[[27, 30, 'MISC'], [78, 87, 'MISC']]"
"Afrika is een werelddeel, Groenland niet.","[[0, 6, 'LOC'], [26, 35, 'LOC']]"
"Afrika is een werelddeel, Groenland niet.","[[0, 6, 'LOC'], [26, 35, 'LOC']]"
Daar is mijnheer James die naar men zegt de rijkste man van het dorp is.,"[[17, 22, 'PER']]"
Eric speelt in onze voetbalploeg.,"[[0, 4, 'PER']]"
Ik zou wel willen Picasso zijn.,"[[18, 25, 'PER']]"
Zal er ooit iemand leven rond Alpha Centauri?,"[[30, 44, 'MISC']]"
Het is de hoogste toren van Japan.,"[[28, 33, 'LOC']]"
"Iedereen is aangekomen, behalve John.","[[32, 36, 'PER']]"
Hij is Fransman.,"[[7, 15, 'MISC']]"
Hij is enkele dagen geleden in Amerika aangekomen.,"[[31, 38, 'LOC']]"
Kazuko lijkt erg op uw zuster;,"[[0, 6, 'PER']]"
Mijn God is nog groter!,"[[5, 8, 'PER']]"
Hun zoon heette Eduardo.,"[[16, 23, 'PER']]"
"Plato is mijn vriend, maar een nog grotere vriend is de waarheid.","[[0, 5, 'PER']]"
"Hij heeft daar tien jaar gewoond, en dan is hij verhuisd naar Kioto.","[[62, 67, 'LOC']]"
Japan en de VS werden bevriende landen.,"[[0, 5, 'LOC'], [12, 14, 'LOC']]"
Japan en de VS werden bevriende landen.,"[[0, 5, 'LOC'], [12, 14, 'LOC']]"
Engels leren is niet moeilijk.,"[[0, 6, 'MISC']]"
Nederlands leren is niet moeilijk.,"[[0, 10, 'MISC']]"
Lincoln was tegen de slavernij.,"[[0, 7, 'PER']]"
Ik was in Tokio gisteren.,"[[10, 15, 'LOC']]"
Jaloersheid heeft hem daartoe gebracht.,"[[0, 11, 'PER']]"
Wanneer zijt ge begonnen met Duits te leren?,"[[29, 34, 'MISC']]"
Maria kwam juist thuis.,"[[0, 5, 'PER']]"
"Ge moet Engels leren, of ge wilt of niet.","[[8, 14, 'MISC']]"
"Vandaag 27 november, om vier uur in de namiddag, zijn er 51271 zinnen in het Esperanto op Tatoeba.","[[77, 86, 'MISC'], [90, 97, 'LOC']]"
"Vandaag 27 november, om vier uur in de namiddag, zijn er 51271 zinnen in het Esperanto op Tatoeba.","[[77, 86, 'MISC'], [90, 97, 'LOC']]"
Zij was een Brits staatsburger van Franse afkomst.,"[[12, 17, 'MISC'], [35, 41, 'MISC']]"
Zij was een Brits staatsburger van Franse afkomst.,"[[12, 17, 'MISC'], [35, 41, 'MISC']]"
In Nara zijn er veel herten.,"[[3, 7, 'LOC']]"
Ik heb genoeg van dat Engels.,"[[22, 28, 'MISC']]"
Ik zou mijn Engelse uitspraak willen verbeteren.,"[[12, 19, 'MISC']]"
Volgende maand ga ik naar Parijs.,"[[26, 32, 'LOC']]"
Jane is vandaag afwezig op school.,"[[0, 4, 'PER']]"
"Gij ook, Brutus?","[[9, 15, 'PER']]"
Alpha Centauri is een driesterrensysteem. Heeft het planeten die nog onbekend zijn?,"[[0, 14, 'ORG']]"
'Krokodili' betekent een nationale taal gebruiken tussen esperantisten onderling.,"[[1, 10, 'MISC']]"
Ik was in het station van Kioto om afscheid te nemen van mijn vader.,"[[26, 31, 'LOC']]"
Heeft Lucy al gebeld?,"[[6, 10, 'PER']]"
Dat is niet gebeurd toen ik Esperanto leerde.,"[[28, 37, 'MISC']]"
"Kom, wij verwachten je, Redder van de wereld.","[[24, 30, 'PER']]"
Een mens die onopzettelijk gezondigd heeft vergeeft God gemakkelijk.,"[[52, 55, 'PER']]"
Ze woont in Kyoto.,"[[12, 17, 'LOC']]"
Peter houdt van Jane.,"[[0, 5, 'PER'], [16, 20, 'PER']]"
Peter houdt van Jane.,"[[0, 5, 'PER'], [16, 20, 'PER']]"
Ze is geboren op 19 augustus 1946 in Californië.,"[[37, 47, 'LOC']]"
De bevolkingsomvang van Zweden groeit.,"[[24, 30, 'LOC']]"
Ik woon in Tokio.,"[[11, 16, 'LOC']]"
Bob kan koken.,"[[0, 3, 'PER']]"
Laten we dat Engelstalig liedje zingen.,"[[13, 24, 'MISC']]"
Italo Calvino is geboren op het eiland Cuba in 1923.,"[[0, 13, 'PER'], [39, 43, 'LOC']]"
Italo Calvino is geboren op het eiland Cuba in 1923.,"[[0, 13, 'PER'], [39, 43, 'LOC']]"
"Maria dacht bij zichzelf ""ik ben een geluksvogel"".","[[0, 5, 'PER']]"
Pablo en María zijn hier geweest.,"[[0, 5, 'PER'], [9, 14, 'PER']]"
Pablo en María zijn hier geweest.,"[[0, 5, 'PER'], [9, 14, 'PER']]"
"Sara was niet gevallen, maar ze weende.","[[0, 4, 'PER']]"
Zij is de vrouw van Alain.,"[[20, 25, 'PER']]"
Mike is vorige zomer naar Kioto geweest.,"[[0, 4, 'PER'], [26, 31, 'LOC']]"
Mike is vorige zomer naar Kioto geweest.,"[[0, 4, 'PER'], [26, 31, 'LOC']]"
"Mijn nationaliteit is Frans, maar van oorsprong ben ik Vietnamees.","[[22, 27, 'MISC'], [55, 65, 'MISC']]"
"Mijn nationaliteit is Frans, maar van oorsprong ben ik Vietnamees.","[[22, 27, 'MISC'], [55, 65, 'MISC']]"
In Hawaï kan men het jaar door in zee zwemmen.,"[[3, 8, 'LOC']]"
Ik heb echt wat nieuwe kleren nodig dacht Dima.,"[[42, 46, 'PER']]"
"Neen, ik begrijp mevrouw Kunze niet.","[[25, 30, 'PER']]"
Er zijn al tien jaar voorbij sinds ik naar Japan gekomen ben.,"[[43, 48, 'LOC']]"
Een Zwitsers toestenbord heeft geen ß.,"[[4, 12, 'MISC']]"
"Mevrouw Roland, wat denkt gij over het probleem?","[[8, 14, 'PER']]"
Anna is getrouwd buiten weten van haar ouders.,"[[0, 4, 'PER']]"
Voordat we naar Tokio kwamen hebben we tien jaar in Osaka gewoond.,"[[16, 21, 'LOC'], [52, 57, 'LOC']]"
Voordat we naar Tokio kwamen hebben we tien jaar in Osaka gewoond.,"[[16, 21, 'LOC'], [52, 57, 'LOC']]"
Het is een Turkse traditie.,"[[11, 17, 'MISC']]"
Ik zou willen Hebreeuws leren.,"[[14, 23, 'MISC']]"
Die scholier is Amerikaanse.,"[[16, 27, 'MISC']]"
Ik heb ooit in Osaka gewoond.,"[[15, 20, 'LOC']]"
Het schip vaarde door het Suezkanaal.,"[[26, 36, 'LOC']]"
We hebben John als kapitein gekozen.,"[[10, 14, 'PER']]"
Estella en ik gaan wandelen.,"[[0, 7, 'PER']]"
Het vliegtuig kwam net op tijd in New York aan.,"[[34, 42, 'LOC']]"
Volgende maand vertrek ik naar Australië.,"[[31, 40, 'LOC']]"
"De zoekmachine ""Yandex"" ondersteunt nu ook het Tataars.","[[16, 22, 'ORG'], [47, 54, 'MISC']]"
"De zoekmachine ""Yandex"" ondersteunt nu ook het Tataars.","[[16, 22, 'ORG'], [47, 54, 'MISC']]"
Ze noemden hun kind Jane.,"[[20, 24, 'PER']]"
Sommigen denken dat de Britse koninklijke familie afstamt van koning David.,"[[23, 29, 'MISC'], [69, 74, 'PER']]"
Sommigen denken dat de Britse koninklijke familie afstamt van koning David.,"[[23, 29, 'MISC'], [69, 74, 'PER']]"
Weet ge hoe oud juffrouw Nakano is?,"[[25, 31, 'PER']]"
Die twee daar op de bank waren Amerikanen.,"[[31, 41, 'MISC']]"
Hebt ge het artikel over Azië gelezen in Time?,"[[25, 29, 'LOC'], [41, 45, 'MISC']]"
Hebt ge het artikel over Azië gelezen in Time?,"[[25, 29, 'LOC'], [41, 45, 'MISC']]"
Carol heeft vorige maand Boston bezocht.,"[[0, 5, 'PER'], [25, 31, 'LOC']]"
Carol heeft vorige maand Boston bezocht.,"[[0, 5, 'PER'], [25, 31, 'LOC']]"
Waarom zijt ge naar Japan gekomen?,"[[20, 25, 'LOC']]"
Hoe heet deze groente in het Engels?,"[[29, 35, 'MISC']]"
Weet gij of Lucy Japans spreekt?,"[[12, 23, 'PER']]"
Ik geloof Naomi niet; ik denk dat ze liegt.,"[[10, 15, 'PER']]"
"Marie is nog eens mislukt. Maar goed, ze is nog jong.","[[0, 5, 'PER']]"
We zijn allebei uit Tampa.,"[[20, 25, 'LOC']]"
Hij ging naar Hokkaido.,"[[14, 22, 'LOC']]"
Hij noemde zijn hond Popeye.,"[[21, 27, 'PER']]"
"Veel Amerikanen voelen zich ongemakkelijk bij een stilte, en ze beschouwen een stilte tijdens een gesprek als een teken dat ze zelf moeten beginnen te spreken.","[[5, 15, 'MISC']]"
Maria kijkt graag tv.,"[[0, 5, 'PER']]"
In de eerste plaats wil ik mijn bijzondere dank betuigen aan mijn professor Ana Costa.,"[[76, 85, 'PER']]"
Sally gaf mij genoeg inlichtingen.,"[[0, 5, 'PER']]"
Bill zal zeker winnen.,"[[0, 4, 'PER']]"
Ik heb twee kaartjes voor het Rijkstheater.,"[[30, 42, 'MISC']]"
Ik zoek boeken over de Romeinse geschiedenis.,"[[23, 31, 'MISC']]"
Sony is een naam die gekend is in de hele wereld.,"[[0, 4, 'ORG']]"
De vreemdeling spreekt Japans alsof het zijn moedertaal was.,"[[23, 29, 'MISC']]"
Morgen komen er twee jonge esperantisten uit Europa.,"[[45, 51, 'LOC']]"
Tom maakte de draad vast aan de vlieger.,"[[0, 3, 'PER']]"
Parijs gaf zich over in 1940.,"[[0, 6, 'LOC']]"
Het luie vriendje van Beth vroeg haar zijn geschiedeniswerk te maken.,"[[22, 26, 'PER']]"
Mijnheer Grey genoot niet van zijn werk.,"[[9, 13, 'PER']]"
"Goeiedag, ik ben Nancy.","[[17, 22, 'LOC']]"
Zij woont in Yokohama.,"[[13, 21, 'LOC']]"
"Dickens is de schrijver van ""Oliver Twist"".","[[0, 7, 'PER'], [29, 41, 'PER']]"
"Dickens is de schrijver van ""Oliver Twist"".","[[0, 7, 'PER'], [29, 41, 'PER']]"
"Hartelijke gelukwensen om uw verjaardag, Muriel!","[[41, 47, 'PER']]"
Mag ik Bill spreken?,"[[7, 11, 'PER']]"
Red een mens. Eet een kannibaal.,"[[0, 3, 'PER']]"
Larry Ewing is getrouwd.,"[[0, 11, 'PER']]"
In de jaren 1950 noemden Canadese moeders hun kinderen met de volledige naam als ze hen een standje gaven.,"[[25, 33, 'MISC']]"
Maria zwemt even snel als Jakobo.,"[[0, 5, 'PER'], [26, 32, 'PER']]"
Maria zwemt even snel als Jakobo.,"[[0, 5, 'PER'], [26, 32, 'PER']]"
Russisch leren is moeilijk.,"[[0, 8, 'MISC']]"
Ik gebruik als bestuurssysteem in mijn computer Windows voor werkgroepen 3.11.,"[[48, 55, 'MISC']]"
Ik ben geboren in 1988 in New York.,"[[26, 34, 'LOC']]"
"Ja!, fluisterde hij in mijn oor met zijn verrukkelijke stem.","[[0, 3, 'ORG']]"
Naast Engels kent hij nog Duits en Frans.,"[[6, 12, 'MISC'], [26, 31, 'MISC'], [35, 40, 'MISC']]"
Naast Engels kent hij nog Duits en Frans.,"[[6, 12, 'MISC'], [26, 31, 'MISC'], [35, 40, 'MISC']]"
Naast Engels kent hij nog Duits en Frans.,"[[6, 12, 'MISC'], [26, 31, 'MISC'], [35, 40, 'MISC']]"
Boeddhisme komt oorspronkelijk uit Indië.,"[[35, 40, 'LOC']]"
Deze brief is door Naoko vorige nacht geschreven.,"[[19, 24, 'PER']]"
Betty heeft haar moeder gedood.,"[[0, 5, 'PER']]"
Zijt gij Tom niet?,"[[9, 12, 'PER']]"
Tom fronste het voorhoofd.,"[[0, 11, 'PER']]"
Ik hoop dat uw zakenreis in Frankrijk geslaagd is.,"[[28, 37, 'LOC']]"
Japanners zijn een werklustig volk.,"[[0, 9, 'MISC']]"
Voor de eerste keer in mijn leven heb ik Rome bezocht.,"[[41, 45, 'LOC']]"
"Elke dag gaat Béla met zijn zoon naar school, want hij is een zorgzame vader.","[[14, 18, 'PER']]"
De klinkerharmonie is belangrijk in het Hongaars.,"[[40, 48, 'MISC']]"
Het zuidelijkste eiland van Japan is Okinawa.,"[[28, 33, 'LOC'], [37, 44, 'LOC']]"
Het zuidelijkste eiland van Japan is Okinawa.,"[[28, 33, 'LOC'], [37, 44, 'LOC']]"
Jane heeft liever honden dan katten.,"[[0, 4, 'PER']]"
Ik heb een mijnheer Smith gekend.,"[[20, 25, 'PER']]"
Jim is smoorverliefd op zijn vriendin.,"[[0, 3, 'PER']]"
De Japanse economie is nog stabiel.,"[[3, 10, 'MISC']]"
Haar naam is Lucifera.,"[[13, 21, 'ORG']]"
Betty heeft een bekoorlijke stem.,"[[0, 5, 'PER']]"
Zijn vader is Japanner.,"[[14, 22, 'MISC']]"
"Het is aangenaam voor Mike, met Yumi te spreken.","[[22, 26, 'PER'], [32, 36, 'PER']]"
"Het is aangenaam voor Mike, met Yumi te spreken.","[[22, 26, 'PER'], [32, 36, 'PER']]"
Taro is twee jaar geleden gestorven.,"[[0, 4, 'PER']]"
Dag Susan. Hoe gaat het?,"[[4, 9, 'PER']]"
Ik ben een vriend van Roberto.,"[[22, 29, 'PER']]"
Bill is mijn beste vriend.,"[[0, 4, 'PER']]"
Tom stapt traag.,"[[0, 3, 'PER']]"
Ana heeft veel bewonderaars.,"[[0, 3, 'PER']]"
Eduardo is jonger dan Roberto.,"[[0, 7, 'PER'], [22, 29, 'PER']]"
Eduardo is jonger dan Roberto.,"[[0, 7, 'PER'], [22, 29, 'PER']]"
Ik ben per trein naar Kobe gegaan.,"[[22, 26, 'LOC']]"
Hij is per taxi naar Kawogoe gegaan.,"[[21, 28, 'LOC']]"
Ik ging per trein naar Boston.,"[[23, 29, 'LOC']]"
Anna kent de eerste duizend cijfers van π van buiten.,"[[0, 4, 'PER']]"
Ik loop liever dan te rijden in een grootstad als Tokio.,"[[50, 55, 'LOC']]"
Water bevriest bij nul graden Celsius.,"[[30, 37, 'LOC']]"
James werd verrast door de regen.,"[[0, 5, 'PER']]"
Er zijn veel aardbevingen in Japan.,"[[29, 34, 'LOC']]"
Hij heeft Afrika voorgoed verlaten.,"[[10, 16, 'LOC']]"
Dit schilderij van Rembrandt is een meesterwerk.,"[[19, 28, 'PER']]"
Ik heb echt nieuwe kleren nodig dacht Dima.,"[[38, 42, 'PER']]"
Veel mensen hebben Japan bezocht.,"[[19, 24, 'LOC']]"
Yumi zal geen tennis spelen.,"[[0, 4, 'PER']]"
Hebt ge de Toren van Tokio al gezien?,"[[11, 26, 'LOC']]"
Ik verwar John altijd met zijn tweelingbroer.,"[[10, 14, 'PER']]"
Mary zocht u op dat ogenblik.,"[[0, 4, 'PER']]"
Hij ging naar Oostenrijk om muziek te studeren.,"[[14, 24, 'LOC']]"
Azië is veel groter dan Australië.,"[[0, 4, 'LOC'], [24, 33, 'LOC']]"
Azië is veel groter dan Australië.,"[[0, 4, 'LOC'], [24, 33, 'LOC']]"
Is het waar dat ge naar Parijs gaat?,"[[24, 30, 'LOC']]"
Goro was zo vriendelijk mij naar het ziekenhuis te voeren.,"[[0, 4, 'PER']]"
Twee maanden zijn voorbij sinds hij naar Frankrijk gegaan is.,"[[41, 50, 'LOC']]"
Haar moedertaal is Frans.,"[[19, 24, 'MISC']]"
New York is de grootste stad van de wereld.,"[[0, 8, 'LOC']]"
Ik ben begonnen Esperanto te leren.,"[[16, 25, 'MISC']]"
Kunt ge mij uitleggen wat PKO betekent?,"[[26, 29, 'MISC']]"
Henriko zou u willen ontmoeten.,"[[0, 7, 'PER']]"
Wij hebben geleerd dat Columbus Amerika ontdekte in 1492.,"[[23, 39, 'LOC']]"
Tom is groter dan zijn moeder.,"[[0, 3, 'PER']]"
Heb ik u verteld wat Melissa zei?,"[[21, 28, 'PER']]"
Vorige zondag zijn we naar Hakone gereden.,"[[27, 33, 'LOC']]"
Ik heb zes maanden in Engeland gestudeerd toen ik student was.,"[[22, 30, 'LOC']]"
Ik heb twee weken geleden Disneyland voor de eerste keer bezocht.,"[[26, 36, 'LOC']]"
Ze spreekt zowel Engels als Frans.,"[[17, 23, 'MISC'], [28, 33, 'MISC']]"
Ze spreekt zowel Engels als Frans.,"[[17, 23, 'MISC'], [28, 33, 'MISC']]"
Koffie is Brazilië's belangrijkste product.,"[[10, 20, 'MISC']]"
Tom vergezelde Kate te voet naar huis.,"[[0, 3, 'PER'], [15, 19, 'PER']]"
Tom vergezelde Kate te voet naar huis.,"[[0, 3, 'PER'], [15, 19, 'PER']]"
Alica heeft een valling sinds vorige zondag.,"[[0, 5, 'PER']]"
Ik heb mijnheer Smith bij mij gevraagd.,"[[16, 21, 'PER']]"
Mijnheer Joel is nu van dienst.,"[[9, 13, 'PER']]"
De beste voetballer van de wereld was Pelé.,"[[38, 42, 'PER']]"
Men zegt dat Homerus blind was.,"[[13, 20, 'PER']]"
Nara is zo oud als Kioto.,"[[0, 4, 'LOC'], [19, 24, 'LOC']]"
Nara is zo oud als Kioto.,"[[0, 4, 'LOC'], [19, 24, 'LOC']]"
Tom waardeert moderne kunst.,"[[0, 3, 'PER']]"
Brian liet Kate wachten.,"[[0, 5, 'PER'], [11, 15, 'PER']]"
Brian liet Kate wachten.,"[[0, 5, 'PER'], [11, 15, 'PER']]"
Tom is weg.,"[[0, 3, 'PER']]"
Tom is afwezig.,"[[0, 3, 'PER']]"
Chris zal morgen niet kunnen werken.,"[[0, 5, 'PER']]"
Water kookt bij 100 graden Celsius.,"[[27, 34, 'LOC']]"
"Hoe gaat het met u, Tom?","[[20, 23, 'PER']]"
Mary kan Japans spreken.,"[[0, 4, 'PER'], [9, 15, 'MISC']]"
Mary kan Japans spreken.,"[[0, 4, 'PER'], [9, 15, 'MISC']]"
Bob was heel blij.,"[[0, 3, 'PER']]"
Ik kan Tim niet vinden.,"[[7, 10, 'PER']]"
Ana kwam naar beneden.,"[[0, 3, 'PER']]"
Morgen ga ik naar Parijs.,"[[18, 24, 'LOC']]"
Is dit Laura's geschenk?,"[[7, 14, 'MISC']]"
Dit woord komt uit het Latijn.,"[[23, 29, 'MISC']]"
Hij kwam uit Boston.,"[[13, 19, 'LOC']]"
Spreekt gij Klingon?,"[[12, 19, 'PER']]"
Mijnheer Braun heeft altijd een boek bij.,"[[9, 14, 'PER']]"
Seiko aanvaardde de uitnodiging voor het avondeten.,"[[0, 5, 'PER']]"
Hoe bereidt men deze vis in Frankrijk?,"[[28, 37, 'LOC']]"
Ik plan een reis naar Nagoya met een overnachting.,"[[22, 28, 'LOC']]"
Hij legde aan Mary uit waarom hij laat was op haar verjaardagsfeest.,"[[14, 18, 'PER']]"
Hij is al drie jaar in Japan.,"[[23, 28, 'LOC']]"
Elke maandag waste mevrouw Evans alle kleren van het gezin in de zinken badkuip.,"[[27, 32, 'PER']]"
Hij haalde zijn diploma aan de universiteit van Tokio.,"[[48, 53, 'LOC']]"
Alma-Ata is mijn lievelingsstad!,"[[0, 8, 'PER']]"
Ik kwam juist terug uit Groot-Brittannië.,"[[24, 40, 'LOC']]"
"Hallo, ik ben Mike.","[[14, 18, 'PER']]"
Hij heeft een zoon met de naam Johano.,"[[31, 37, 'PER']]"
"Jim is geen advokaat, maar dokter.","[[0, 3, 'PER']]"
"Hoe gaat het met u de laatste tijd, Franko?","[[36, 42, 'PER']]"
Op een april zal Nanyo Foods Co Ltd verhuizen naar zijn nieuw gebouw in Yokohama.,"[[17, 35, 'ORG'], [72, 80, 'LOC']]"
Op een april zal Nanyo Foods Co Ltd verhuizen naar zijn nieuw gebouw in Yokohama.,"[[17, 35, 'ORG'], [72, 80, 'LOC']]"
"In Groot-Brittannië is de koning koning, maar regeert hij niet.","[[3, 19, 'LOC']]"
Is dit Frans?,"[[7, 12, 'MISC']]"
Vorige zomer hebben we de Fuji beklommen.,"[[26, 30, 'LOC']]"
Marie Curie was een Poolse en geen Franse.,"[[0, 11, 'PER'], [20, 26, 'MISC'], [35, 41, 'MISC']]"
Marie Curie was een Poolse en geen Franse.,"[[0, 11, 'PER'], [20, 26, 'MISC'], [35, 41, 'MISC']]"
Marie Curie was een Poolse en geen Franse.,"[[0, 11, 'PER'], [20, 26, 'MISC'], [35, 41, 'MISC']]"
Christoffel Columbus verafschuwde historische onnauwkeurigheden.,"[[0, 20, 'PER']]"
Ik heb John overhaald voor een onderzoek door de geneesheer.,"[[7, 11, 'PER']]"
Een reusachtig tekort op de federale begroting vergiftigt de Amerikaanse economie al vele jaren.,"[[61, 72, 'MISC']]"
Jane droeg hetzelfde lint als haar moeder.,"[[0, 4, 'PER']]"
"Liefste, kom naar bed. ""Neen, nu nog niet. Ik moet nog enkele zinnen vertalen in Tatoeba.""","[[81, 89, 'LOC']]"
Ik had nooit begrepen waarvoor de eeuwigheid nuttig kon zijn. Ze is nuttig om ons de kans te geven Duits te leren.,"[[99, 104, 'MISC']]"
Om te beginnen gaan we met dokter Benjamin Burns praten.,"[[34, 48, 'PER']]"
"Mijn bijnaam is ""Jeuk"".","[[17, 21, 'MISC']]"
"Kom, Emilia! Je vader wacht op jou.","[[5, 11, 'LOC']]"
Italië is een schiereiland.,"[[0, 6, 'LOC']]"
Eergisteren bracht hij een officieel bezoek aan de Franse president.,"[[51, 57, 'MISC']]"
De Amerikaanse film was een groot succes.,"[[3, 14, 'MISC']]"
"De Engelse koningin is koning, maar bestuurt niet.","[[3, 10, 'MISC']]"
Men vergelijkt de Verenigde Staten van Amerika dikwijls met een smeltkroes.,"[[18, 34, 'LOC'], [39, 46, 'LOC']]"
Men vergelijkt de Verenigde Staten van Amerika dikwijls met een smeltkroes.,"[[18, 34, 'LOC'], [39, 46, 'LOC']]"
Wanneer werden de Verenigde Staten onafhankelijk van Engeland?,"[[18, 34, 'LOC'], [53, 61, 'LOC']]"
Wanneer werden de Verenigde Staten onafhankelijk van Engeland?,"[[18, 34, 'LOC'], [53, 61, 'LOC']]"
Is hij geliefd in Japan?,"[[18, 23, 'LOC']]"
Seicho Matumoto is overleden in 1992.,"[[0, 15, 'PER']]"
